strike_price,option_type,midpoint_price,delta_k,contribution_by_strike,strike_price,option_type,midpoint_price,delta_k,contribution_by_strike
1370,Put,0.2,5,0.0000005328,1275,Put,0.075,50,0.0000023069
1375,Put,0.125,5,0.0000003306,1325,Put,0.15,37.5,0.0000032041
1380,Put,0.15,5,0.0000003938,1350,Put,0.15,25,0.0000020577
1385,Put,0.225,5,0.0000005865,1375,Put,0.175,25,0.0000023141
1390,Put,0.225,5,0.0000005823,1400,Put,0.2,25,0.0000025511
1395,Put,0.125,5,0.0000003212,1425,Put,0.25,25,0.0000030779
1400,Put,0.125,7.5,0.0000004783,1450,Put,0.3,25,0.0000035673
1410,Put,0.225,10,0.0000011318,1475,Put,0.35,25,0.0000040219
1420,Put,0.225,7.5,0.0000008369,1500,Put,0.4,17.5,0.0000031112
1425,Put,0.175,5,0.0000004309,1510,Put,0.425,10,0.0000018640
1430,Put,0.225,5,0.0000005502,1520,Put,0.45,7.5,0.0000014608
1435,Put,0.275,5,0.0000006677,1525,Put,0.475,5,0.0000010213
1440,Put,0.175,5,0.0000004220,1530,Put,0.5,7.5,0.0000016020
1445,Put,0.225,5,0.0000005388,1540,Put,0.525,10,0.0000022137
1450,Put,0.2,5,0.0000004756,1550,Put,0.55,7.5,0.0000017170
1455,Put,0.25,5,0.0000005905,1555,Put,0.575,5,0.0000011890
1460,Put,0.25,5,0.0000005864,1560,Put,0.6,5,0.0000012328
1465,Put,0.25,5,0.0000005824,1565,Put,0.625,5,0.0000012759
1470,Put,0.25,5,0.0000005785,1570,Put,0.65,5,0.0000013185
1475,Put,0.2,5,0.0000004596,1575,Put,0.675,5,0.0000013606
1480,Put,0.25,5,0.0000005707,1580,Put,0.675,5,0.0000013520
1485,Put,0.35,5,0.0000007936,1585,Put,0.7,5,0.0000013932
1490,Put,0.175,5,0.0000003941,1590,Put,0.725,5,0.0000014339
1495,Put,0.275,5,0.0000006152,1595,Put,0.75,5,0.0000014741
1500,Put,0.325,5,0.0000007222,1600,Put,0.775,5,0.0000015137
1505,Put,0.325,5,0.0000007174,1605,Put,0.8,5,0.0000015528
1510,Put,0.3,5,0.0000006579,1610,Put,0.825,5,0.0000015914
1515,Put,0.3,5,0.0000006535,1615,Put,0.85,5,0.0000016295
1520,Put,0.35,5,0.0000007575,1620,Put,0.875,5,0.0000016671
1525,Put,0.35,5,0.0000007525,1625,Put,0.9,5,0.0000017042
1530,Put,0.325,5,0.0000006942,1630,Put,0.95,5,0.0000017878
1535,Put,0.375,5,0.0000007958,1635,Put,0.975,5,0.0000018237
1540,Put,0.375,5,0.0000007906,1640,Put,1,5,0.0000018591
1545,Put,0.375,5,0.0000007855,1645,Put,1.025,5,0.0000018940
1550,Put,0.5,5,0.0000010406,1650,Put,1.075,5,0.0000019743
1555,Put,0.425,5,0.0000008788,1655,Put,1.1,5,0.0000020081
1560,Put,0.425,5,0.0000008732,1660,Put,1.15,5,0.0000020867
1565,Put,0.425,5,0.0000008676,1665,Put,1.2,5,0.0000021644
1570,Put,0.475,5,0.0000009635,1670,Put,1.225,5,0.0000021963
1575,Put,0.55,5,0.0000011086,1675,Put,1.275,5,0.0000022723
1580,Put,0.525,5,0.0000010515,1680,Put,1.325,5,0.0000023474
1585,Put,0.525,5,0.0000010449,1685,Put,1.375,5,0.0000024215
1590,Put,0.525,5,0.0000010384,1690,Put,1.425,5,0.0000024947
1595,Put,0.525,5,0.0000010319,1695,Put,1.475,5,0.0000025670
1600,Put,0.675,5,0.0000013184,1700,Put,1.525,5,0.0000026385
1605,Put,0.575,5,0.0000011161,1705,Put,1.6,5,0.0000027520
1610,Put,0.625,5,0.0000012056,1710,Put,1.675,5,0.0000028642
1615,Put,0.625,5,0.0000011982,1715,Put,1.725,5,0.0000029325
1620,Put,0.625,5,0.0000011908,1720,Put,1.8,5,0.0000030423
1625,Put,0.675,5,0.0000012781,1725,Put,1.85,5,0.0000031087
1630,Put,0.675,5,0.0000012703,1730,Put,1.925,5,0.0000032160
1635,Put,0.725,5,0.0000013561,1735,Put,2,5,0.0000033221
1640,Put,0.725,5,0.0000013478,1740,Put,2.1,5,0.0000034682
1645,Put,0.775,5,0.0000014320,1745,Put,2.175,5,0.0000035715
1650,Put,0.675,5,0.0000012397,1750,Put,2.275,5,0.0000037144
1655,Put,0.825,5,0.0000015060,1755,Put,2.375,5,0.0000038556
1660,Put,0.825,5,0.0000014970,1760,Put,2.475,5,0.0000039951
1665,Put,0.875,5,0.0000015782,1765,Put,2.575,5,0.0000041330
1670,Put,0.875,5,0.0000015688,1770,Put,2.725,5,0.0000043491
1675,Put,0.925,5,0.0000016485,1775,Put,2.825,5,0.0000044833
1680,Put,0.975,5,0.0000017273,1780,Put,3,5,0.0000047344
1685,Put,1.025,5,0.0000018051,1785,Put,3.1,5,0.0000048648
1690,Put,1.025,5,0.0000017944,1790,Put,3.25,5,0.0000050718
