strike_price,option_type,midpoint_price,delta_k,contribution_by_strike
1370,Put,0.2,5,0.0000005328
1375,Put,0.125,5,0.0000003306
1380,Put,0.15,5,0.0000003938
1385,Put,0.225,5,0.0000005865
1390,Put,0.225,5,0.0000005823
1395,Put,0.125,5,0.0000003212
1400,Put,0.125,7.5,0.0000004783
1410,Put,0.225,10,0.0000011318
1420,Put,0.225,7.5,0.0000008369
1425,Put,0.175,5,0.0000004309
1430,Put,0.225,5,0.0000005502
1435,Put,0.275,5,0.0000006677
1440,Put,0.175,5,0.0000004220
1445,Put,0.225,5,0.0000005388
1450,Put,0.2,5,0.0000004756
1455,Put,0.25,5,0.0000005905
1460,Put,0.25,5,0.0000005864
1465,Put,0.25,5,0.0000005824
1470,Put,0.25,5,0.0000005785
1475,Put,0.2,5,0.0000004596
1480,Put,0.25,5,0.0000005707
1485,Put,0.35,5,0.0000007936
1490,Put,0.175,5,0.0000003941
1495,Put,0.275,5,0.0000006152
1500,Put,0.325,5,0.0000007222
1505,Put,0.325,5,0.0000007174
1510,Put,0.3,5,0.0000006579
1515,Put,0.3,5,0.0000006535
1520,Put,0.35,5,0.0000007575
1525,Put,0.35,5,0.0000007525
1530,Put,0.325,5,0.0000006942
1535,Put,0.375,5,0.0000007958
1540,Put,0.375,5,0.0000007906
1545,Put,0.375,5,0.0000007855
1550,Put,0.5,5,0.0000010406
1555,Put,0.425,5,0.0000008788
1560,Put,0.425,5,0.0000008732
1565,Put,0.425,5,0.0000008676
1570,Put,0.475,5,0.0000009635
1575,Put,0.55,5,0.0000011086
1580,Put,0.525,5,0.0000010515
1585,Put,0.525,5,0.0000010449
1590,Put,0.525,5,0.0000010384
1595,Put,0.525,5,0.0000010319
1600,Put,0.675,5,0.0000013184
1605,Put,0.575,5,0.0000011161
1610,Put,0.625,5,0.0000012056
1615,Put,0.625,5,0.0000011982
1620,Put,0.625,5,0.0000011908
1625,Put,0.675,5,0.0000012781
1630,Put,0.675,5,0.0000012703
1635,Put,0.725,5,0.0000013561
