strike_price,option_type,midpoint_price,delta_k,contribution_by_strike
1275,Put,0.075,50,0.0000023069
1325,Put,0.15,37.5,0.0000032041
1350,Put,0.15,25,0.0000020577
1375,Put,0.175,25,0.0000023141
1400,Put,0.2,25,0.0000025511
1425,Put,0.25,25,0.0000030779
1450,Put,0.3,25,0.0000035673
1475,Put,0.35,25,0.0000040219
1500,Put,0.4,17.5,0.0000031112
1510,Put,0.425,10,0.0000018640
1520,Put,0.45,7.5,0.0000014608
1525,Put,0.475,5,0.0000010213
1530,Put,0.5,7.5,0.0000016020
1540,Put,0.525,10,0.0000022137
1550,Put,0.55,7.5,0.0000017170
1555,Put,0.575,5,0.0000011890
1560,Put,0.6,5,0.0000012328
1565,Put,0.625,5,0.0000012759
1570,Put,0.65,5,0.0000013185
1575,Put,0.675,5,0.0000013606
1580,Put,0.675,5,0.0000013520
1585,Put,0.7,5,0.0000013932
1590,Put,0.725,5,0.0000014339
1595,Put,0.75,5,0.0000014741
1600,Put,0.775,5,0.0000015137
1605,Put,0.8,5,0.0000015528
1610,Put,0.825,5,0.0000015914
1615,Put,0.85,5,0.0000016295
1620,Put,0.875,5,0.0000016671
1625,Put,0.9,5,0.0000017042
1630,Put,0.95,5,0.0000017878
1635,Put,0.975,5,0.0000018237
1640,Put,1,5,0.0000018591
1645,Put,1.025,5,0.0000018940
1650,Put,1.075,5,0.0000019743
1655,Put,1.1,5,0.0000020081
1660,Put,1.15,5,0.0000020867
1665,Put,1.2,5,0.0000021644
1670,Put,1.225,5,0.0000021963
1675,Put,1.275,5,0.0000022723
1680,Put,1.325,5,0.0000023474
1685,Put,1.375,5,0.0000024215
1690,Put,1.425,5,0.0000024947
1695,Put,1.475,5,0.0000025670
1700,Put,1.525,5,0.0000026385
1705,Put,1.6,5,0.0000027520
1710,Put,1.675,5,0.0000028642
1715,Put,1.725,5,0.0000029325
1720,Put,1.8,5,0.0000030423
1725,Put,1.85,5,0.0000031087
1730,Put,1.925,5,0.0000032160
1735,Put,2,5,0.0000033221
1740,Put,2.1,5,0.0000034682
1745,Put,2.175,5,0.0000035715
1750,Put,2.275,5,0.0000037144
1755,Put,2.375,5,0.0000038556
1760,Put,2.475,5,0.0000039951
1765,Put,2.575,5,0.0000041330
1770,Put,2.725,5,0.0000043491
1775,Put,2.825,5,0.0000044833
1780,Put,3,5,0.0000047344
1785,Put,3.1,5,0.0000048648
1790,Put,3.25,5,0.0000050718
1795,Put,3.45,5,0.0000053539
1800,Put,3.6,5,0.0000055557
1805,Put,3.8,5,0.0000058319
1810,Put,3.95,5,0.0000060287
1815,Put,4.2,5,0.0000063749
1820,Put,4.4,5,0.0000066419
1825,Put,4.65,5,0.0000069808
1830,Put,4.9,5,0.0000073160
1835,Put,5.15,5,0.0000076474
1840,Put,5.45,5,0.0000080490
1845,Put,5.75,5,0.0000084461
1850,Put,6.05,5,0.0000088388
1855,Put,6.45,5,0.0000093724
1860,Put,6.75,5,0.0000097557
1865,Put,7.15,5,0.0000102785
1870,Put,7.65,5,0.0000109385
1875,Put,8.15,5,0.0000115914
1880,Put,8.6,5,0.0000121664
1885,Put,9.2,5,0.0000129463
1890,Put,9.75,5,0.0000136478
1895,Put,10.4,5,0.0000144809
1900,Put,11.1,5,0.0000153743
1905,Put,11.8,5,0.0000162582
1910,Put,12.6,5,0.0000172697
1915,Put,13.45,5,0.0000183386
1920,Put,14.4,5,0.0000195317
1925,Put,15.4,5,0.0000207797
1930,Put,16.4,5,0.0000220146
1935,Put,17.6,5,0.0000235034
1940,Put,18.8,5,0.0000249767
1945,Put,20.2,5,0.0000266989
1950,Put,21.6,5,0.0000284031
1955,Put,23.2,5,0.0000303512
1960,Put/Call_Average,26.1,5,0.0000339711
1965,Call,24.15,5,0.0000312732
1970,Call,21.1,5,0.0000271851
1975,Call,18.3,5,0.0000234584
1980,Call,15.7,5,0.0000200240
1985,Call,13.3,5,0.0000168776
1990,Call,11.1,5,0.0000140151
1995,Call,9.15,5,0.0000114952
2000,Call,7.4,5,0.0000092502
2005,Call,5.85,5,0.0000072763
2010,Call,4.65,5,0.0000057549
2015,Call,3.55,5,0.0000043718
2020,Call,2.7,5,0.0000033086
2025,Call,2.05,5,0.0000024997
2030,Call,1.55,5,0.0000018807
2035,Call,1.15,5,0.0000013885
2040,Call,0.875,5,0.0000010513
2045,Call,0.675,5,0.0000008070
2050,Call,0.575,7.5,0.0000010262
2060,Call,0.35,10,0.0000008248
2070,Call,0.25,7.5,0.0000004376
2075,Call,0.2,15,0.0000006968
2100,Call,0.15,25,0.0000008504
2125,Call,0.1,25,0.0000005536
2150,Call,0.1,37.5,0.0000008113
2200,Call,0.075,50,0.0000007748
