strike_price,call_bid,call_ask,put_bid,put_ask
800,1160.90,1164.40,0.00,0.10
900,1060.90,1064.50,0.00,0.10
1000,961.00,964.50,0.00,0.10
1050,911.00,914.50,0.00,0.10
1100,861.00,864.60,0.00,0.05
1125,836.00,839.60,0.00,0.05
1150,811.00,814.60,0.00,0.05
1175,786.10,789.60,0.00,0.05
1200,761.10,764.60,0.00,0.05
1220,741.10,744.60,0.00,0.10
1225,736.10,739.60,0.00,0.05
1240,721.10,724.60,0.00,0.10
1250,711.10,714.60,0.00,0.05
1260,701.10,704.60,0.00,0.10
1270,691.10,694.60,0.00,0.10
1275,686.10,689.60,0.00,0.10
1280,681.10,684.60,0.00,0.10
1290,671.10,674.70,0.00,0.10
1300,661.10,664.70,0.05,0.10
1305,656.10,659.70,0.00,0.10
1310,651.10,654.70,0.00,0.10
1315,646.10,649.70,0.00,0.10
1320,641.20,644.70,0.00,0.10
1325,636.20,639.70,0.05,0.10
1330,631.20,634.70,0.00,0.10
1335,626.20,629.70,0.00,0.15
1340,621.20,624.70,0.00,0.15
1345,616.20,619.70,0.00,0.15
1350,611.20,614.70,0.05,0.15
1355,606.20,609.70,0.05,0.35
1360,601.20,604.70,0.00,0.35
1365,596.20,599.70,0.00,0.35
1370,591.20,594.70,0.05,0.35
1375,586.20,589.70,0.10,0.15
1380,581.20,584.70,0.10,0.20
1385,576.20,579.70,0.10,0.35
1390,571.20,574.70,0.10,0.35
1395,566.20,569.70,0.10,0.15
1400,561.20,564.80,0.10,0.15
1405,556.20,559.80,0.00,0.35
1410,551.20,554.80,0.05,0.40
1415,546.20,549.80,0.00,0.40
1420,541.20,544.80,0.05,0.40
1425,536.30,539.80,0.15,0.20
1430,531.30,534.80,0.05,0.40
1435,526.30,529.80,0.15,0.40
1440,521.30,524.80,0.05,0.30
1445,516.30,519.80,0.05,0.40
1450,511.30,514.80,0.15,0.25
1455,506.30,509.80,0.05,0.45
1460,501.30,504.80,0.05,0.45
1465,496.30,499.80,0.05,0.45
1470,491.30,494.80,0.05,0.45
1475,486.30,489.90,0.15,0.25
1480,481.30,484.90,0.05,0.45
1485,476.30,479.90,0.20,0.50
1490,471.30,474.90,0.05,0.30
1495,466.40,469.90,0.05,0.50
1500,461.40,464.90,0.25,0.40
1505,456.40,459.90,0.30,0.35
1510,451.40,454.90,0.05,0.55
1515,446.40,449.90,0.05,0.55
1520,441.40,445.00,0.10,0.60
1525,436.40,440.00,0.30,0.40
1530,431.40,435.00,0.05,0.60
1535,426.40,430.00,0.10,0.65
1540,421.40,425.00,0.10,0.65
1545,416.50,420.00,0.10,0.65
1550,411.50,415.00,0.30,0.70
1555,406.50,410.10,0.15,0.70
1560,401.50,405.10,0.15,0.70
1565,396.50,400.10,0.15,0.70
1570,391.50,395.10,0.20,0.75
1575,386.50,390.10,0.35,0.75
1580,381.50,385.10,0.25,0.80
1585,376.60,380.20,0.25,0.80
1590,371.60,375.20,0.25,0.80
1595,366.60,370.20,0.25,0.80
1600,361.60,365.20,0.50,0.85
1605,356.60,360.30,0.30,0.85
1610,351.60,355.30,0.35,0.90
1615,346.70,350.30,0.35,0.90
1620,341.70,345.30,0.35,0.90
1625,336.70,340.40,0.40,0.95
1630,331.70,335.40,0.40,0.95
1635,326.70,330.40,0.45,1.00
1640,321.80,325.40,0.45,1.00
1645,316.80,320.50,0.50,1.05
1650,311.80,315.50,0.50,0.85
1655,306.80,310.50,0.55,1.10
1660,301.90,305.60,0.55,1.10
1665,296.90,300.60,0.60,1.15
1670,291.90,295.70,0.60,1.15
1675,287.00,290.70,0.65,1.20
1680,282.00,285.70,0.70,1.25
1685,277.00,280.80,0.75,1.30
1690,272.10,275.80,0.75,1.30
1695,267.10,270.90,0.80,1.35
1700,262.10,265.90,0.85,1.40
1705,257.20,261.00,0.85,1.40
1710,252.20,256.00,0.90,1.45
1715,247.30,251.10,0.95,1.50
1720,242.30,246.10,1.00,1.55
1725,237.40,241.20,1.05,1.60
1730,232.40,236.30,1.10,1.65
1735,227.50,231.30,1.15,1.70
1740,222.50,226.40,1.20,1.75
1745,217.60,221.50,1.25,1.85
1750,212.60,216.60,1.30,1.90
1755,207.70,211.60,1.40,1.95
1760,202.80,206.70,1.45,2.05
