strike_price,call_bid,call_ask,put_bid,put_ask
1225,735.90,738.80,0.00,0.10
1250,710.80,713.80,0.00,0.10
1275,686.00,688.70,0.05,0.10
1300,660.90,663.80,0.00,0.10
1325,635.90,638.60,0.10,0.20
1350,610.90,613.60,0.10,0.20
1375,585.90,588.70,0.10,0.25
1400,561.00,563.70,0.15,0.25
1425,536.00,538.80,0.20,0.30
1450,511.10,513.80,0.25,0.35
1475,486.10,488.90,0.30,0.40
1500,461.20,464.00,0.35,0.45
1510,451.30,454.00,0.35,0.50
1520,441.30,444.00,0.40,0.50
1525,436.30,439.10,0.40,0.55
1530,431.30,434.10,0.45,0.55
1540,421.40,424.10,0.45,0.60
1550,411.40,414.20,0.50,0.60
1555,406.40,409.20,0.50,0.65
1560,401.40,404.20,0.55,0.65
1565,396.50,399.20,0.55,0.70
1570,391.20,394.00,0.60,0.70
1575,386.50,389.30,0.60,0.75
1580,381.50,384.30,0.60,0.75
1585,376.60,379.30,0.65,0.75
1590,371.30,374.10,0.65,0.80
1595,366.60,369.40,0.70,0.80
1600,361.60,364.40,0.70,0.85
1605,356.70,359.40,0.75,0.85
1610,351.70,354.50,0.75,0.90
1615,346.70,349.50,0.80,0.90
1620,341.80,344.50,0.80,0.95
1625,336.80,339.50,0.85,0.95
1630,331.80,334.60,0.90,1.00
1635,326.90,329.60,0.90,1.05
1640,321.90,324.70,0.95,1.05
1645,316.90,319.70,0.95,1.10
1650,312.00,314.70,1.00,1.15
1655,307.00,309.80,1.05,1.15
1660,302.10,304.80,1.10,1.20
1665,297.10,299.90,1.15,1.25
1670,292.20,294.90,1.15,1.30
1675,287.20,289.90,1.20,1.35
1680,282.30,285.00,1.25,1.40
1685,277.30,280.10,1.30,1.45
1690,272.40,275.10,1.35,1.50
1695,267.40,270.20,1.40,1.55
1700,262.50,265.20,1.45,1.60
1705,257.50,260.30,1.50,1.70
1710,252.60,255.30,1.60,1.75
1715,247.70,250.40,1.65,1.80
1720,242.70,245.50,1.70,1.90
1725,237.80,240.60,1.75,1.95
1730,232.90,235.60,1.85,2.00
1735,228.00,230.70,1.90,2.10
1740,223.40,225.30,2.00,2.20
1745,218.50,220.40,2.10,2.25
1750,213.60,215.50,2.20,2.35
1755,208.70,210.60,2.30,2.45
1760,203.80,205.70,2.40,2.55
1765,198.90,200.80,2.50,2.65
1770,194.00,195.90,2.65,2.80
1775,189.20,191.10,2.75,2.90
1780,184.30,185.80,2.90,3.10
1785,179.40,180.90,3.00,3.20
1790,174.60,176.10,3.10,3.40
1795,169.70,171.20,3.30,3.60
1800,164.90,166.40,3.50,3.70
1805,160.10,161.60,3.70,3.90
1810,155.30,156.70,3.80,4.10
1815,150.50,152.00,4.10,4.30
1820,145.70,147.20,4.30,4.50
1825,140.90,142.40,4.50,4.80
1830,136.20,137.70,4.80,5.00
1835,131.50,132.90,5.00,5.30
1840,126.80,128.20,5.30,5.60
1845,122.10,123.50,5.60,5.90
1850,117.40,118.80,5.90,6.20
1855,112.80,114.20,6.30,6.60
1860,108.20,109.60,6.60,6.90
1865,103.60,105.00,7.00,7.30
1870,99.00,100.40,7.50,7.80
1875,94.50,95.90,8.00,8.30
1880,90.00,91.40,8.40,8.80
1885,85.50,86.90,9.00,9.40
1890,81.10,82.50,9.50,10.00
1895,76.80,78.10,10.20,10.60
1900,72.40,73.70,10.90,11.30
1905,68.20,69.40,11.60,12.00
1910,64.00,65.20,12.40,12.80
1915,59.80,61.10,13.20,13.70
1920,55.70,57.00,14.20,14.60
1925,51.70,53.00,15.20,15.60
1930,47.80,49.10,16.20,16.60
1935,44.60,45.10,17.40,17.80
1940,40.80,41.30,18.60,19.00
1945,37.20,37.70,20.00,20.40
1950,33.70,34.40,21.40,21.80
1955,30.30,30.90,23.00,23.40
1960,27.00,27.60,24.70,25.10
1965,23.80,24.50,26.50,27.30
1970,20.80,21.40,28.50,29.40
1975,18.00,18.60,30.50,31.60
1980,15.50,15.90,33.00,34.00
1985,13.10,13.50,35.50,36.60
1990,10.90,11.30,38.40,39.50
1995,9.00,9.30,41.30,42.50
2000,7.20,7.60,44.50,45.80
2005,5.70,6.00,48.10,49.30
2010,4.50,4.80,51.70,53.00
2015,3.40,3.70,55.80,57.00
2020,2.60,2.80,59.90,61.70
2025,1.95,2.15,64.10,66.10
2030,1.45,1.65,68.60,70.60
2035,1.05,1.25,73.30,75.20
2040,0.80,0.95,78.00,80.00
2045,0.60,0.75,82.00,84.80
2050,0.50,0.65,86.90,89.60
2060,0.30,0.40,96.60,99.40
2070,0.20,0.30,106.70,109.50
2075,0.15,0.25,111.70,114.50
2100,0.10,0.20,136.30,139.10
2125,0.05,0.15,161.50,164.30
2150,0.05,0.15,186.30,189.00
2175,0.00,0.10,211.30,214.00
2200,0.05,0.10,236.30,239.00
2225,0.00,0.10,261.30,264.00
2250,0.00,0.10,286.30,289.00
